grid_deg,fold,n_val,roc_auc,f1_fixed
0.25,1,124,0.9445889698231009,0.8617886178861789
0.25,2,126,0.9385235575711766,0.8682170542635659
0.25,3,124,0.9159729448491155,0.864
0.25,4,123,0.9193548387096775,0.8372093023255814
0.25,5,125,0.9575012800819253,0.9076923076923077
0.5,1,125,0.921146953405018,0.8661417322834646
0.5,2,121,0.9418032786885245,0.8780487804878049
0.5,3,129,0.9435096153846154,0.8905109489051095
0.5,4,124,0.931321540062435,0.8372093023255814
0.5,5,123,0.9521417239555791,0.9016393442622951
1.0,1,127,0.9250992063492064,0.8787878787878788
1.0,2,125,0.9444444444444444,0.8444444444444444
1.0,3,123,0.9621893178212586,0.9016393442622951
1.0,4,124,0.9050468262226846,0.8387096774193549
1.0,5,123,0.9063987308302486,0.828125
